title,labels,body
"[CRIT] Hardcoded MW_API_KEY in client-side JavaScript","priority:critical,type:security,source:code-review","**File:** `js/modules/01-config.js:5`

`MW_API_KEY` is shipped to every browser, visible in source, and committed to git history. CORS is browser-only — any HTTP client can bypass it. The Referer check is also spoofable server-side.

**Impact:** Any route checking MW_API_KEY (e.g. `/api/orders/recent`) can be called by anyone who views source. Exposes customer names, order totals, and transaction IDs.

**Recommendation:** Treat MW_API_KEY as a public identifier, not a secret. Require proper session-based auth for sensitive endpoints. Rotate the key since the current value is in git history.

**Ref:** Code Review #1, Payment Audit #14 (deferred)"
"[CRIT] Dual API key confusion — MW_API_KEY vs API_SECRET_KEY","priority:critical,type:security,source:code-review","**File:** `zoho-middleware/routes/pos.js:505-507`

The global API key guard in `server.js` checks `API_SECRET_KEY`, but `/api/orders/recent` checks `MW_API_KEY`. Two separate env vars for the same purpose. If only one is set, the other endpoint's protection is silently disabled.

Additionally, the endpoint accepts the key via `req.query.api_key` (URL query param), meaning the secret appears in server access logs, browser history, and Referer headers.

**Recommendation:** Standardize on one API key env var. Remove the query parameter option — headers only.

**Ref:** Code Review #2"
"[CRIT] Price fail-open when catalog unavailable","priority:critical,type:security,source:gemini-review","**File:** `zoho-middleware/routes/checkout.js` ~line 192

When catalog cache is unavailable, the code falls back to client-supplied `item.rate`:
```
var rate = catalogAvailable ? catalogMap[item.item_id] : (Number(item.rate) || 0)
```

This defeats the entire server-side price anchoring system. An attacker could force a catalog cache miss and submit items at $0.

**Recommendation:** Fail closed — reject the checkout if catalog is unavailable rather than trusting client prices.

**Ref:** Gemini v1.3.0 Review Gap #1"
"[CRIT] Ghost charge — no void on Contact/Booking failure","priority:critical,type:security,source:gemini-review","**Architectural issue**

Frontend orchestrates: Charge → Contact → Booking → Order. Backend void only fires if the backend Order step fails. If Contact or Booking step fails after card is charged, no void is triggered — customer is charged but gets no order.

**Recommendation:** Move all orchestration to backend. The charge-to-order pipeline should be a single atomic server-side transaction with void on any step failure.

**Ref:** Gemini v1.3.0 Review Gap #2"
"[CRIT] Makers Fee bypass — not enforced server-side","priority:critical,type:security,source:gemini-review","**File:** `zoho-middleware/routes/checkout.js`

Backend checks the makers fee price if present, but does NOT enforce that it MUST be present when kits are in the cart. A client could submit a kit order with no makers fee line item.

**Recommendation:** Add server-side check: `if (hasKits && !hasMakersFee) reject`.

**Ref:** Gemini v1.3.0 Review Gap #3"
"[HIGH] reCAPTCHA fail-open may be too permissive","priority:high,type:security,source:code-review","**File:** `zoho-middleware/routes/checkout.js:55-58`

When Google is unreachable or times out, reCAPTCHA verification returns `{ success: true, score: 1.0 }`. An attacker could block outbound connections to Google and bypass reCAPTCHA entirely, limited only by rate limiter (10/min payment, 60/min API).

**Recommendation:** Add a Redis counter of consecutive reCAPTCHA failures. If it exceeds a threshold (e.g. 10 in 5 minutes), switch to fail-closed mode temporarily and return 503.

**Ref:** Code Review #3"
"[HIGH] Contact form: no reCAPTCHA + email header injection risk","priority:high,type:security,source:code-review","**File:** `zoho-middleware/server.js:123-159`

`/api/contact` has rate limiting (5/min) but no reCAPTCHA. The `replyTo: email` field accepts user input directly — potential for header injection in older nodemailer versions.

**Recommendation:** Add reCAPTCHA to contact form (infrastructure already exists). Use `{ name, address }` object format for `replyTo`.

**Ref:** Code Review #4"
"[HIGH] pos/sale records card payments as 'cash'","priority:high,type:bug,source:code-review","**File:** `zoho-middleware/routes/pos.js:459`

The legacy `POST /api/pos/sale` hardcodes `payment_mode: 'cash'` for GP card terminal transactions. The kiosk sale endpoint correctly detects card type. This creates inaccurate financial records in Zoho.

**Recommendation:** Detect card type from terminal response (as kiosk endpoint does), or default to `'creditcard'`.

**Ref:** Code Review #6, improvements.md L6"
"[HIGH] /api/payment/charge may trust client-supplied amount","priority:high,type:security,source:gemini-review","**File:** `zoho-middleware/routes/payments.js`

Needs verification — the charge endpoint may accept the payment amount from the client rather than computing it server-side from the validated cart total.

**Recommendation:** Verify and ensure the charge amount is always computed server-side from catalog prices, never from client input.

**Ref:** Gemini v1.3.0 Review — additional note"
"[HIGH] PII in critical error logs — PIPEDA risk","priority:high,type:security,source:gemini-review","Customer names and email addresses appear in critical error log entries (e.g. failed void scenarios). Under PIPEDA (Canadian privacy law), PII in logs creates compliance risk — especially if logs are stored in third-party services.

**Recommendation:** Redact or hash PII in log output. Use customer IDs instead of names/emails.

**Ref:** Gemini v1.3.0 Review — additional note"
"[MED] POS status endpoint leaks GP_* env var names","priority:medium,type:security,source:code-review","**File:** `zoho-middleware/routes/pos.js:349`

Lists all `GP_*` environment variable names in the response. Helps attackers understand payment gateway configuration.

**Recommendation:** Remove `gp_vars_present` from response, or put behind admin auth.

**Ref:** Code Review #8"
"[MED] Kiosk sale idempotency double-response bug","priority:medium,type:bug,source:code-review","**File:** `zoho-middleware/routes/pos.js:57-69`

When `idempotencyKey` is truthy, the `return cache.get(...)` returns a promise but execution falls through to the next `processSale()` call before the promise resolves. This causes a double-response crash (`Error: Can't set headers after they are sent`).

**Recommendation:** Add `return` before the fallback `processSale`, or restructure with `else`.

**Ref:** Code Review #9"
"[MED] innerHTML XSS risk in cart sidebar","priority:medium,type:security,source:code-review","**File:** `js/modules/11-cart.js:757-758` and `934-935`

`priceEl.innerHTML` uses `formatCurrency(item.price)` where `item.price` comes from localStorage. If localStorage is manipulated, this creates an XSS vector. Rest of the codebase correctly uses `textContent`.

**Recommendation:** Build these elements with `createElement`/`textContent` like the rest of the code.

**Ref:** Code Review #10"
"[MED] Health endpoint exposes auth state + env var names","priority:medium,type:security,source:code-review","**File:** `zoho-middleware/server.js:92-98`

Unauthenticated `/health` endpoint reveals Zoho OAuth state and server uptime. Also doesn't reflect actual Redis/token validity (returns 200 even when token expired or Redis down).

**Recommendation:** Keep minimal `{ status: 'ok' }` for public endpoint. Move diagnostics to authenticated admin endpoint. Add real health checks for Redis and token validity.

**Ref:** Code Review #7, improvements.md L5"
"[MED] OAuth callback missing CSRF state parameter","priority:medium,type:security,source:backlog","**File:** `zoho-middleware/lib/zohoAuth.js`

`/auth/zoho/callback` validates no state parameter. This is a textbook OAuth CSRF vulnerability.

**Recommendation:** Generate a random state param on auth initiation, store in session/Redis, validate on callback.

**Ref:** improvements.md M18"
"[MED] Product request form lacks rate limiting","priority:medium,type:security,source:backlog","**File:** `zoho-middleware/server.js`

`POST /product-requests` is mounted before the auth guard and apiLimiter. Unlimited spam possible.

**Recommendation:** Apply rate limiter to this endpoint.

**Ref:** improvements.md M17"
"[MED] Overly broad Zoho OAuth scopes (fullaccess.all)","priority:medium,type:security,source:backlog","**File:** `zoho-middleware/lib/zohoAuth.js`

Requests `fullaccess.all` — includes delete/org settings capabilities never used. Larger breach blast radius.

**Recommendation:** Scope down to only the specific modules/actions needed (Inventory read/write, Books invoices).

**Ref:** improvements.md M22"
"[MED] No structured alerting for critical events","priority:medium,type:infra,source:backlog","**File:** `zoho-middleware/server.js`, `routes/pos.js`

Failed payment voids are written to Redis but never surfaced to admin. No webhook or email on critical errors.

**Recommendation:** Add email/webhook notification for failed voids and other critical error conditions.

**Ref:** improvements.md M19"
"[MED] Flat rate limit shared across public and admin routes","priority:medium,type:security,source:backlog","**File:** `zoho-middleware/server.js`

Public reads and admin writes share one 60 req/min bucket. Admin operations can be throttled by public traffic.

**Recommendation:** Add tiered limits with separate Redis key prefixes for public vs admin routes.

**Ref:** improvements.md M21"
